desert;var;type;low.ci;mean;up.ci;sd
North American;Annual Temp.;Surrounding heterogeneity;-0.158475469776843;-0.0881299594902932;-0.0177844492037437;0.0358905664727294
Persian;Annual Temp.;Surrounding heterogeneity;-0.184144109415856;-0.0933600328992845;-0.00257595638271323;0.0463184063860057
Saharo-Arabian;Annual Temp.;Surrounding heterogeneity;0.110135748369186;0.200469443012027;0.290803137654868;0.046088619715735
Atacama;Productivity;Average;0.182567410577218;0.265331618461972;0.348095826346726;0.0422266366758949
Australian;Productivity;Average;-0.00226452289832901;0.0790362561543375;0.160337035207004;0.041479989312585
Central Asian;Productivity;Average;-0.512128382428889;-0.431646713815059;-0.351165045201229;0.0410620758233828
Gobi;Productivity;Average;-0.344812609516867;-0.252407963278061;-0.160003317039255;0.0471452276728601
Kalahari;Productivity;Average;-0.216840455438372;-0.12702138831595;-0.0372023211935286;0.0458260546542967
North American;Productivity;Average;-0.147821673726367;-0.0742796153070043;-0.00073755688764128;0.037521458377226
Persian;Productivity;Average;-0.298252924946187;-0.2279360279082;-0.157619130870213;0.0358759678765241
Saharo-Arabian;Productivity;Average;-0.0117432663687419;0.0792057756085093;0.170154817585761;0.0464025724373731
Atacama;Productivity;Heterogeneity within;0.272550369227474;0.345831085715156;0.419111802202838;0.0373881206569806
Australian;Productivity;Heterogeneity within;-0.091006811614854;-0.0100863669752086;0.0708340776644368;0.0412859411426762
Central Asian;Productivity;Heterogeneity within;-0.132194254196543;-0.0459275651682007;0.0403391238601419;0.0440136168511952
Gobi;Productivity;Heterogeneity within;-0.241446513541641;-0.145637366961508;-0.0498282203813745;0.0488822176429252
Kalahari;Productivity;Heterogeneity within;0.0639216273073677;0.147258336778644;0.230595046249921;0.0425187293220799
North American;Productivity;Heterogeneity within;-0.238335401677051;-0.153488286011201;-0.0686411703453516;0.0432893447274743
Persian;Productivity;Heterogeneity within;-0.208622738961448;-0.127279533393426;-0.045936327825404;0.0415016354938887
Saharo-Arabian;Productivity;Heterogeneity within;0.104876028091954;0.188745815537007;0.27261560298206;0.0427907078801291
